,game1,game2,home_x,away_x,away_win
156,1190,2501,13.0,-4.0,0.0
157,1193,2878,-9.0,-4.0,0.0
158,1194,3706,-1.0,-20.0,0.0
159,1195,2396,26.0,-6.0,0.0
160,1197,2491,6.0,3.0,1.0
161,1198,2314,14.0,1.0,1.0
162,1200,2778,-9.0,-16.0,0.0
163,1201,2525,18.0,-3.0,0.0
164,1202,3083,9.0,-8.0,0.0
165,1203,2321,25.0,4.0,1.0
166,1204,2882,21.0,-6.0,0.0
167,1205,1828,9.0,-5.0,0.0
168,1206,1583,-7.0,-8.0,0.0
169,1209,3197,10.0,-28.0,0.0
170,1210,2330,-11.0,-9.0,0.0
171,1213,2498,-6.0,-9.0,0.0
172,1215,2387,-2.0,2.0,1.0
173,1216,2259,-5.0,-17.0,0.0
174,1217,3377,17.0,39.0,1.0
175,1220,2507,11.0,-23.0,0.0
176,1221,2488,12.0,-27.0,0.0
177,1222,2347,11.0,-13.0,0.0
178,1224,3198,-3.0,-13.0,0.0
179,1226,3646,4.0,-6.0,0.0
180,1229,2337,1.0,-5.0,0.0
181,1231,2360,17.0,5.0,1.0
182,1233,2366,-12.0,-15.0,0.0
183,1235,3395,11.0,-7.0,0.0
184,1236,2370,-11.0,-11.0,0.0
185,1237,2371,32.0,10.0,1.0
186,1238,3617,5.0,5.0,1.0
187,1239,3652,7.0,10.0,1.0
188,1240,2508,14.0,-15.0,0.0
189,1244,2408,7.0,-11.0,0.0
190,1246,2942,-12.0,-1.0,0.0
191,1247,2556,-6.0,-2.0,0.0
192,1248,1424,-2.0,-7.0,0.0
193,1250,2167,3.0,-5.0,0.0
194,1254,2389,13.0,10.0,1.0
195,1255,2993,-7.0,15.0,1.0
196,1257,2520,11.0,13.0,1.0
197,1260,3660,-9.0,-12.0,0.0
198,1261,2521,1.0,1.0,1.0
199,1264,2170,-15.0,-10.0,0.0
200,1265,2397,-6.0,-11.0,0.0
201,1267,2490,3.0,-3.0,0.0
202,1268,2743,-4.0,-1.0,0.0
203,1269,3020,2.0,-24.0,0.0
204,1270,3399,-4.0,-30.0,0.0
205,1271,2469,16.0,11.0,1.0
206,1272,3400,-16.0,-6.0,0.0
207,1273,2511,-7.0,1.0,1.0
208,1274,3061,1.0,-9.0,0.0
209,1275,2503,3.0,-14.0,0.0
210,1276,2523,-24.0,-4.0,0.0
211,1278,2114,-2.0,-6.0,0.0
212,1279,2243,-10.0,3.0,1.0
213,1281,3729,8.0,3.0,1.0
214,1282,3463,2.0,-11.0,0.0
215,1283,2291,-15.0,-14.0,0.0
216,1284,2123,1.0,-19.0,0.0
217,1285,2573,-11.0,-12.0,0.0
218,1286,2293,-2.0,-27.0,0.0
219,1287,2489,11.0,8.0,1.0
220,1289,2160,-4.0,2.0,1.0
221,1290,1534,6.0,-8.0,0.0
222,1291,2386,5.0,-8.0,0.0
223,1292,2708,14.0,-19.0,0.0
224,1293,3674,12.0,10.0,1.0
225,1296,3731,-1.0,-8.0,0.0
226,1297,2544,5.0,-18.0,0.0
227,1298,2331,5.0,-4.0,0.0
228,1300,2428,-14.0,-6.0,0.0
229,1302,1586,12.0,13.0,1.0
230,1303,2441,3.0,-5.0,0.0
231,1307,2336,11.0,5.0,1.0
232,1308,3518,9.0,-4.0,0.0
233,1309,2344,-12.0,-27.0,0.0
