,game1,game2
284,1335,2532
285,1336,2452
286,1337,2479
287,1338,3005
288,1340,1925
289,1341,3291
290,656,1343
291,1345,2250
292,1346,3280
293,1348,2086
294,652,1349
295,1161,1351
296,1353,2524
297,1354,1973
298,1075,1356
299,1357,2676
300,1358,2499
301,1359,2628
302,1361,2820
303,284,1362
304,1364,2611
305,1366,2020
306,1367,2730
307,1368,2713
308,1371,2638
309,1372,3045
310,1374,2639
311,1376,2484
312,1377,2625
313,1379,2380
314,1380,2531
315,1381,2381
316,1382,2802
317,1383,2518
318,1384,2705
319,1385,2661
320,1388,2720
321,1393,2601
322,1394,2712
323,1399,2597
324,1400,2598
325,1401,1905
326,1402,2318
327,1403,2438
328,1404,2728
329,1405,3181
330,1407,2823
331,1408,2616
332,1410,2542
333,1411,2543
334,1412,2535
335,1413,2649
336,1414,2280
337,1415,2633
338,1416,2155
339,1418,2644
340,1420,2665
341,1421,2515
342,1423,3499
343,1248,1424
344,1425,2630
345,1427,2844
346,1428,3251
347,1429,2552
348,1431,2417
349,1432,2035
350,1433,3034
351,1434,3190
352,1435,3252
353,1436,1672
354,1437,2576
355,1439,2571
356,1440,2984
357,1441,2418
358,1443,3142
359,1444,2808
360,1445,2572
361,1446,2702
362,1448,3269
363,642,1449
364,1450,3238
365,1452,2835
366,1453,2651
367,1454,2652
368,1455,3234
369,1456,2811
370,1457,2592
371,1458,2792
372,1459,2595
373,1460,2596
374,1461,2534
375,1462,2599
376,1463,3043
377,1464,2798
378,1465,2997
379,1466,2161
380,1467,2757
381,1468,2537
382,1469,2779
383,1470,2602
384,1471,1919
385,1472,3103
386,1473,2782
387,1474,2807
388,1476,2861
389,1477,2323
390,1479,2956
391,1481,2613
392,1482,1962
393,1483,2905
394,1484,2797
395,1485,2618
396,1486,2622
397,1488,2732
398,1489,2815
399,1490,3154
400,1491,2643
401,1492,2629
402,1493,2631
403,1494,2554
404,1495,2918
405,1496,2545
406,1498,2055
407,1499,2637
408,1500,2793
409,1501,3478
410,1502,2785
411,1503,2925
412,1504,2548
413,1505,3018
414,1506,2642
415,1507,2836
416,1508,2551
417,1509,3304
418,1510,2647
419,1511,2648
420,1512,2553
421,1513,2505
422,1514,2697
423,1516,2584
424,1517,2585
425,1518,2937
426,1519,2875
427,1520,2635
428,1521,2586
429,1523,2587
430,1524,2304
431,1525,3203
432,1526,2739
433,1527,2558
434,1528,3310
435,1529,2594
436,1530,3621
437,1531,2658
438,1532,2560
439,1290,1534
440,1535,2740
441,1538,3149
442,1539,3105
443,1540,2231
444,1541,3130
445,1542,2581
446,1543,2282
447,1544,2809
448,1545,3134
449,1546,2706
450,1548,2583
451,1549,2533
452,1550,2773
453,1551,2812
454,1553,2746
455,1554,2972
456,1555,2679
457,1556,2978
458,1557,2634
459,1558,3050
460,1559,2683
461,1560,2473
462,1561,2570
463,1562,2619
464,1563,2686
465,1564,2292
466,1565,2310
467,1566,3317
468,1567,2620
469,1568,2698
470,1569,2965
471,1570,2781
472,1571,3145
473,1572,2704
474,1575,2813
475,1576,2716
476,1577,3445
477,1579,3001
478,1000,1580
479,1581,2031
480,1582,2125
481,1206,1583
482,1302,1586
483,1587,2755
484,1590,2741
485,1591,2724
486,1592,2919
487,249,1594
488,1597,2549
489,1598,2612
490,1599,3212
491,1600,2799
492,1601,3014
493,1602,3042
494,1603,2609
495,1604,2116
496,1605,2735
497,1606,2733
498,1607,3240
499,1608,2742
500,1609,2840
501,1610,2873
502,1611,2721
503,308,1612
504,1613,3022
505,100,1614
506,1615,2715
507,1616,2482
508,1617,2752
509,1618,3264
510,1619,3143
511,1620,2983
512,1621,2577
513,1622,2777
514,1624,2762
515,1625,2764
516,224,1626
517,1627,2885
518,1630,2026
519,1631,2876
520,1632,2761
521,699,1633
522,1634,2889
523,103,1635
524,1636,3133
525,1637,2437
526,1638,2911
527,1639,2912
528,1640,2999
529,1641,2790
530,1642,2868
531,1643,2791
532,1644,2935
533,1645,2700
534,1646,3427
535,1647,2258
536,1649,2998
537,1650,2775
538,1652,2921
539,1653,2940
540,1655,2804
541,1656,2947
542,1657,2897
543,1658,2943
544,1659,2953
545,1660,2623
546,1661,2901
547,1662,3067
548,1663,3315
549,1664,2857
550,1665,2988
551,1666,2973
552,1667,2974
553,1668,2975
554,1669,2767
555,1670,2977
556,237,1671
557,1436,1672
558,1673,3259
559,1675,3096
560,1676,2891
561,1677,2436
562,1002,1678
563,1679,2898
564,1680,3082
565,1681,3454
566,1684,2908
567,1685,2260
568,1686,2848
569,1687,2829
570,1689,2917
571,1690,2934
572,1691,2920
573,1692,2641
574,1693,2855
575,1694,3049
576,1695,2513
577,1696,2826
578,1697,2933
579,338,1698
580,1699,2272
581,1700,2561
582,1701,2949
583,1702,3510
584,1703,3115
585,1704,2852
586,1705,2281
587,1706,3520
588,1707,2991
589,1708,3155
590,1709,3527
591,1710,2858
592,1711,2504
593,358,1712
594,1713,2981
595,1714,2879
596,1715,2687
597,1717,2574
598,1718,2696
599,1719,2332
600,1721,3673
601,1722,2865
602,1723,2297
603,1724,3319
604,1725,1864
605,1727,2941
606,1728,2958
607,1729,2946
608,1730,2985
609,1732,2963
610,1733,2877
611,1734,3534
612,1735,2817
613,1736,2969
614,1737,2492
615,1738,3165
616,1739,2922
617,1740,2884
618,1741,2758
619,1742,2887
620,1743,2579
621,1744,2890
622,1745,2818
623,1746,2892
624,1747,2893
625,1748,3174
626,1749,3093
627,1750,2896
628,1751,2636
629,1752,2034
630,1753,3059
631,1755,3062
632,1756,2967
633,1757,3057
634,1758,3501
635,1759,2936
636,1760,3183
637,1761,2904
638,4,1762
639,1763,3066
640,1764,2907
641,1765,2824
642,1766,2909
643,1767,2910
644,1768,3047
645,1769,3107
646,1770,3434
647,1771,2980
648,1772,3055
649,1773,2932
650,1774,3300
651,1775,2831
652,1777,2906
653,1778,2650
654,1780,2833
655,1781,3204
656,1782,2834
657,1783,3210
658,1784,2926
659,1785,3068
660,1787,2929
661,1788,2550
662,1789,3486
663,1790,2938
664,1791,2839
665,1792,2796
666,1793,3072
667,1794,2842
668,1795,2951
669,1796,2939
670,1797,3024
671,1799,2841
672,1800,2827
673,1801,2559
674,1802,2976
675,1803,2843
676,1804,3276
677,1805,2655
678,1806,2846
679,1807,2847
680,1808,2562
681,1810,2850
682,1811,2955
683,1812,3081
684,1813,3249
685,1814,3396
686,1815,2699
687,1816,2957
688,1817,3316
689,1818,3433
690,1819,2566
691,1820,3085
692,1821,2419
693,1823,2567
694,1824,2568
695,1825,3052
696,1826,3254
697,1827,3087
698,1205,1828
699,1829,3100
700,1830,2002
701,1831,2682
702,1832,2838
703,1833,2685
704,1835,2859
705,1836,3244
706,1837,2854
707,1840,2476
708,1841,3038
709,1842,2987
710,1843,2845
711,1844,2994
712,1845,3039
713,1846,2013
714,1847,2948
715,1848,3272
716,1849,2880
717,1850,2606
718,423,1851
719,1854,2285
720,1855,3086
721,1856,3306
722,1857,3002
723,1858,3003
724,1860,2749
725,1861,2149
726,1862,2894
727,1725,1864
728,1865,3295
729,1866,1966
730,1867,2989
731,1868,3029
732,1870,3017
733,1871,3019
734,1873,3303
735,1875,2766
736,1876,2931
737,1877,2377
738,1879,3307
739,1883,3026
740,1884,3007
741,1885,2183
742,1886,3236
743,1887,2640
744,1889,3386
745,1890,2365
746,1892,3089
747,1893,2701
748,1333,1894
749,1895,3036
750,1897,2990
751,1898,3104
752,1899,3011
753,1902,3041
754,1903,3314
755,888,1904
756,1401,1905
757,1906,3056
758,1907,2768
759,1912,3139
760,1914,3158
761,1915,2073
762,1916,3281
763,1917,3094
764,1918,2494
765,1471,1919
766,1920,3177
767,1921,3195
768,1922,3106
769,1923,3192
770,1924,3274
771,1340,1925
772,1926,3231
773,1147,1927
774,1928,2806
775,1929,3071
776,1930,3169
777,1931,3202
778,1932,3367
779,1933,3207
780,1934,3253
781,1935,3074
782,1936,2783
783,1938,3722
784,1939,3078
785,1940,2805
786,167,1942
787,128,1943
788,1944,3241
789,1945,3246
790,1946,2411
791,1948,2615
792,1950,3255
793,1951,3058
794,1952,3263
795,1134,1953
796,1955,3270
797,1956,2881
798,1958,3164
799,1959,3370
800,1960,3409
801,1961,2723
802,1482,1962
803,1965,2930
804,1866,1966
805,1967,3243
806,1968,3131
807,1969,3167
808,1970,3110
809,1971,3379
810,1972,3228
811,1354,1973
812,1974,2923
813,1975,2924
814,1976,3237
815,1319,1977
816,1978,3119
817,1979,3120
818,1980,3282
819,1325,1982
820,1983,3222
821,1984,3153
822,1985,3163
823,1986,3162
824,1987,3235
825,1988,3239
826,1989,2964
827,1990,3009
828,1991,3109
829,1992,2810
830,1993,2516
831,1994,2966
832,1995,2903
833,1996,3406
834,1997,2276
835,1998,3090
836,1999,3140
837,2001,3141
838,1830,2002
839,2003,3452
840,2005,2692
841,2006,2825
842,2007,2995
843,2008,2821
844,2009,3349
845,2010,2350
846,2011,3217
847,2012,3216
848,1846,2013
849,2014,2614
850,2015,3160
851,2017,3125
852,2018,3126
853,433,2019
854,1366,2020
855,2021,3338
856,2022,3098
857,2023,3292
858,2024,2886
859,2025,3371
860,1630,2026
861,2027,3170
862,2028,3536
863,2029,3220
864,2030,2486
865,1581,2031
866,2032,3214
867,1752,2034
868,1432,2035
869,2036,3010
870,2037,2497
871,2038,3348
872,2039,3233
873,2040,3343
874,2041,3182
875,2043,3337
876,2044,3191
877,2045,3346
878,2046,3108
879,2047,3159
880,2048,3193
881,2049,3157
882,2050,3196
883,2051,3448
884,2052,3275
885,2053,3095
886,2054,3199
887,1498,2055
888,2056,3064
889,2057,3200
890,2058,3230
891,2060,3116
892,2063,3206
893,2064,3351
894,2066,3209
895,2067,2509
896,2068,2453
897,2070,2368
898,2071,3118
899,2072,2369
900,1915,2073
901,2074,3166
902,2075,3364
903,2077,3150
904,2078,2707
905,2079,3219
906,2080,2653
907,2081,2678
908,2082,3023
909,2083,3242
910,2084,3213
911,2085,3152
912,1348,2086
913,2087,3146
914,2088,3111
915,2089,3121
916,2090,3124
917,2091,3232
918,1118,2092
919,2094,3030
920,2095,3515
921,2096,3359
922,2097,2343
923,2098,3132
924,2099,3519
925,2100,2863
926,2101,2729
927,2102,3248
928,2103,2334
929,2104,2753
930,2105,3712
931,2106,2402
932,2107,3187
933,2108,3128
934,2109,3334
935,2110,3360
936,2111,3362
937,2112,3256
938,2113,2744
939,1278,2114
940,2115,2814
941,1604,2116
942,2117,3500
943,2118,3033
944,2119,2290
945,2120,3097
946,2121,3535
947,2122,3260
948,1284,2123
949,2124,3261
950,1582,2125
951,2126,3368
952,2127,2421
953,2128,3184
954,2129,3267
955,2130,3151
956,2131,2405
957,1183,2132
958,2134,2756
959,2135,3376
960,2136,3734
961,2137,3112
962,2140,3383
963,2141,3361
964,2143,2714
965,2144,3284
966,2145,3040
967,2147,2819
968,1092,2148
969,1861,2149
970,638,2150
971,570,2152
972,2153,3101
973,2154,3294
974,1416,2155
975,2156,3301
976,2157,2915
977,2158,3474
978,2159,3302
979,1289,2160
980,1466,2161
981,2162,2795
982,2163,3283
983,2164,2736
984,2165,3308
985,2166,2326
986,1250,2167
987,1264,2170
988,2171,3398
989,2172,2671
990,2173,3313
991,2175,3136
992,2176,2383
993,2177,3421
994,2178,2747
995,2179,2500
996,2182,3037
997,1885,2183
998,2185,3305
999,2186,2734
1000,2188,3311
1001,2189,3286
1002,2190,2495
1003,2194,3227
1004,2195,3357
1005,2196,3079
1006,2197,3522
1007,2199,3511
1008,2201,3441
1009,2202,3411
1010,2204,3446
1011,2207,2645
1012,2208,3225
1013,2209,3521
1014,1159,2210
1015,2212,3323
1016,2213,3135
1017,2214,3459
1018,2216,3344
1019,2217,3468
1020,2218,3122
1021,2219,3065
1022,2220,3340
1023,1314,2221
1024,2222,3556
1025,2223,3297
1026,2224,3354
1027,2225,3073
1028,2226,3339
1029,625,2227
1030,2229,3470
1031,2230,2563
1032,1540,2231
1033,2232,2748
1034,1318,2233
1035,2234,3550
1036,2235,2522
1037,750,2236
1038,2237,3525
1039,2238,3530
1040,2239,3528
1041,2241,3529
1042,2242,3257
1043,1279,2243
1044,2245,3266
1045,687,2246
1046,1345,2250
1047,2251,3407
1048,2252,3540
1049,1133,2253
1050,2254,3508
1051,327,2255
1052,2256,2822
1053,1647,2258
1054,1216,2259
1055,1685,2260
1056,2261,2621
1057,2263,2763
1058,2264,3552
1059,2265,3482
1060,2266,3201
1061,2267,3205
1062,2268,3211
1063,2269,3489
1064,2270,3490
1065,2271,3099
1066,1699,2272
1067,2273,2750
1068,2274,2526
1069,2275,3503
1070,1997,2276
1071,2277,3507
1072,2278,2646
1073,1414,2280
1074,1705,2281
1075,1543,2282
1076,1328,2283
1077,2284,2959
1078,1854,2285
1079,2287,2968
1080,2288,2677
1081,892,2289
1082,2119,2290
1083,1283,2291
1084,1564,2292
1085,1286,2293
1086,2294,3328
1087,2295,3265
1088,2296,2703
1089,1723,2297
1090,2298,3147
1091,1088,2299
1092,2300,3271
1093,2301,3168
1094,1310,2302
1095,2303,3469
1096,1524,2304
1097,1129,2306
1098,1108,2307
1099,2308,3403
1100,2309,3541
1101,1565,2310
1102,2311,3473
1103,2312,3004
1104,2313,3384
1105,1198,2314
1106,2315,3413
1107,1089,2316
1108,1402,2318
1109,2319,3392
1110,2320,3171
1111,1203,2321
1112,2322,2603
1113,1477,2323
1114,2325,3451
1115,2166,2326
1116,2327,3148
1117,2328,3156
1118,1090,2329
1119,1210,2330
1120,1298,2331
1121,1719,2332
1122,1098,2333
1123,2103,2334
1124,2335,3013
1125,1307,2336
1126,1229,2337
1127,1102,2341
1128,2342,3523
1129,2097,2343
1130,1309,2344
1131,1114,2345
1132,2346,3048
1133,1222,2347
1134,1124,2348
1135,2349,3299
1136,2010,2350
1137,2351,3423
1138,2352,3380
1139,1176,2353
1140,2355,3381
1141,2356,3347
1142,2357,2659
1143,2358,3382
1144,1111,2359
1145,1231,2360
1146,391,2362
1147,2363,3385
1148,1890,2365
1149,1233,2366
1150,2367,3069
1151,2070,2368
1152,2072,2369
1153,1236,2370
1154,1237,2371
1155,2372,3387
1156,2373,3355
1157,1128,2374
1158,1157,2375
1159,2376,3342
1160,1877,2377
1161,2378,3491
1162,1379,2380
1163,1381,2381
1164,2382,3497
1165,2176,2383
1166,2384,2656
1167,1291,2386
1168,1215,2387
1169,2388,3358
1170,1254,2389
1171,2390,3393
1172,2391,2849
1173,2392,2663
1174,1113,2394
1175,2395,2667
1176,1195,2396
1177,1265,2397
1178,2398,2872
1179,480,2399
1180,2400,3442
1181,2106,2402
1182,2403,2869
1183,2131,2405
1184,1123,2406
1185,2407,3138
1186,1244,2408
1187,2409,3532
1188,2410,3512
1189,1946,2411
1190,1171,2412
1191,2413,2593
1192,2414,3035
1193,1126,2415
1194,2416,3390
1195,1431,2417
1196,1441,2418
1197,1821,2419
1198,2420,3438
1199,2127,2421
1200,2422,3502
1201,2423,3173
1202,2424,3496
1203,2425,2754
1204,2426,2578
1205,2427,3369
1206,1300,2428
1207,1120,2432
1208,2434,3053
1209,1677,2436
1210,1637,2437
1211,1403,2438
1212,2439,3189
1213,2440,3586
1214,1303,2441
1215,2443,3569
1216,1326,2444
1217,148,2445
1218,1105,2446
1219,320,2447
1220,2448,2888
1221,1336,2452
1222,2068,2453
1223,2455,3571
1224,2458,2737
1225,205,2460
1226,2464,3127
1227,1321,2465
1228,2466,3245
1229,2468,3524
1230,1271,2469
1231,1330,2470
1232,1331,2471
1233,2472,3401
1234,1560,2473
1235,2474,3724
1236,1840,2476
1237,2477,3186
1238,1337,2479
1239,2480,2727
1240,1616,2482
1241,1376,2484
1242,2030,2486
1243,1221,2488
1244,1287,2489
1245,1267,2490
1246,1197,2491
1247,1737,2492
1248,1918,2494
1249,2190,2495
1250,1096,2496
1251,2037,2497
1252,1213,2498
1253,1358,2499
1254,2179,2500
1255,1190,2501
1256,2502,3180
1257,1275,2503
1258,1711,2504
1259,1513,2505
1260,2506,3475
1261,1220,2507
1262,1240,2508
1263,2067,2509
1264,2510,3278
1265,1273,2511
1266,2512,3476
1267,1695,2513
1268,1421,2515
1269,1993,2516
1270,1383,2518
1271,2519,3504
1272,1257,2520
1273,1261,2521
1274,2235,2522
1275,1276,2523
1276,1353,2524
1277,1201,2525
1278,2274,2526
1279,2527,3185
1280,2528,3405
1281,1380,2531
1282,1335,2532
1283,1549,2533
1284,1461,2534
1285,1412,2535
1286,1468,2537
1287,2538,2895
1288,2539,3472
1289,2540,3322
1290,1152,2541
1291,1410,2542
1292,1411,2543
1293,1297,2544
1294,1496,2545
1295,2546,3114
1296,1313,2547
1297,1504,2548
1298,1597,2549
1299,1788,2550
1300,1508,2551
1301,1429,2552
1302,1512,2553
1303,1494,2554
1304,1247,2556
1305,2557,3356
1306,1527,2558
1307,1801,2559
1308,1532,2560
1309,1700,2561
1310,1808,2562
1311,2230,2563
1312,2564,3175
1313,2565,3397
1314,1819,2566
1315,1823,2567
1316,1824,2568
1317,1561,2570
1318,1439,2571
1319,1445,2572
1320,1285,2573
1321,1717,2574
1322,2575,3144
1323,1437,2576
1324,1621,2577
1325,2426,2578
1326,1743,2579
1327,2580,3711
1328,1542,2581
1329,2582,3732
1330,1548,2583
1331,1516,2584
1332,1517,2585
1333,1521,2586
1334,1523,2587
1335,2588,3710
1336,2589,3659
1337,2590,3649
1338,2591,3664
1339,1457,2592
1340,2413,2593
1341,1529,2594
1342,1459,2595
1343,1460,2596
1344,1399,2597
1345,1400,2598
1346,1462,2599
1347,2600,2832
1348,1393,2601
1349,1470,2602
1350,2322,2603
1351,350,2604
1352,1850,2606
1353,507,2607
1354,1603,2609
1355,1364,2611
1356,1598,2612
1357,1481,2613
1358,2014,2614
1359,1948,2615
1360,1408,2616
1361,2617,3188
1362,1485,2618
1363,1562,2619
1364,1567,2620
1365,2261,2621
1366,1486,2622
1367,1660,2623
1368,1377,2625
1369,2626,3636
1370,1137,2627
1371,1359,2628
1372,1492,2629
1373,1425,2630
1374,1493,2631
1375,1146,2632
1376,1415,2633
1377,1557,2634
1378,1520,2635
1379,1751,2636
1380,1499,2637
1381,1371,2638
1382,1374,2639
1383,1887,2640
1384,1692,2641
1385,1506,2642
1386,1491,2643
1387,1418,2644
1388,2207,2645
1389,2278,2646
1390,1510,2647
1391,1511,2648
1392,1413,2649
1393,1778,2650
1394,1453,2651
1395,1454,2652
1396,2080,2653
1397,1805,2655
1398,2384,2656
1399,2657,3391
1400,1531,2658
1401,2357,2659
1402,1385,2661
1403,2662,3697
1404,2392,2663
1405,2664,3682
1406,1420,2665
1407,748,2666
1408,2395,2667
1409,1170,2668
1410,2669,3273
1411,2172,2671
1412,2672,3333
1413,1329,2673
1414,1357,2676
1415,2288,2677
1416,2081,2678
1417,1555,2679
1418,2681,3533
1419,1831,2682
1420,1559,2683
1421,1833,2685
1422,1563,2686
1423,1715,2687
1424,2688,3336
1425,1179,2689
1426,2690,3537
1427,1135,2691
1428,2005,2692
1429,2695,3450
1430,1718,2696
1431,1514,2697
1432,1568,2698
1433,1815,2699
1434,1645,2700
1435,1893,2701
1436,1446,2702
1437,2296,2703
1438,1572,2704
1439,1384,2705
1440,1546,2706
1441,2078,2707
1442,1292,2708
1443,1394,2712
1444,1368,2713
1445,2143,2714
1446,1615,2715
1447,1576,2716
1448,2717,3054
1449,2718,3289
1450,1388,2720
1451,1611,2721
1452,2722,3327
1453,1961,2723
1454,1591,2724
1455,2725,3293
1456,2480,2727
1457,1404,2728
1458,2101,2729
1459,1367,2730
1460,1488,2732
1461,1606,2733
1462,2186,2734
1463,1605,2735
1464,2164,2736
1465,2458,2737
1466,2738,3720
1467,1526,2739
1468,1535,2740
1469,1590,2741
1470,1608,2742
1471,1268,2743
1472,2113,2744
1473,1553,2746
1474,2178,2747
1475,2232,2748
1476,1860,2749
1477,2273,2750
1478,1617,2752
1479,2104,2753
1480,2425,2754
1481,1587,2755
1482,2134,2756
1483,1467,2757
1484,1741,2758
1485,2759,3290
1486,1632,2761
1487,1624,2762
1488,2263,2763
1489,1625,2764
1490,1875,2766
1491,1669,2767
1492,1907,2768
1493,663,2770
1494,554,2771
1495,1550,2773
1496,2774,3402
1497,1650,2775
1498,1622,2777
1499,1200,2778
1500,1469,2779
1501,1570,2781
1502,1473,2782
1503,1936,2783
1504,1502,2785
1505,332,2788
1506,1641,2790
1507,1643,2791
1508,1458,2792
1509,1500,2793
1510,2794,3070
1511,2162,2795
1512,1792,2796
1513,1484,2797
1514,1464,2798
1515,1600,2799
1516,274,2800
1517,1382,2802
1518,1655,2804
1519,1940,2805
1520,1928,2806
1521,1474,2807
1522,1444,2808
1523,1544,2809
1524,1992,2810
1525,1456,2811
1526,1551,2812
1527,1575,2813
1528,2115,2814
1529,1489,2815
1530,295,2816
1531,1735,2817
1532,1745,2818
1533,2147,2819
1534,1361,2820
1535,2008,2821
1536,2256,2822
1537,1407,2823
1538,1765,2824
1539,2006,2825
1540,1696,2826
1541,1800,2827
1542,1687,2829
1543,1145,2830
1544,1775,2831
1545,2600,2832
1546,1780,2833
1547,1782,2834
1548,1452,2835
1549,1507,2836
1550,1320,2837
1551,1832,2838
1552,1791,2839
1553,1609,2840
1554,1799,2841
1555,1794,2842
1556,1803,2843
1557,1427,2844
1558,1843,2845
1559,1806,2846
1560,1807,2847
1561,1686,2848
1562,2391,2849
1563,1810,2850
1564,1704,2852
1565,2853,3517
1566,1837,2854
1567,1693,2855
1568,1664,2857
1569,1710,2858
1570,1835,2859
1571,2860,3404
1572,1476,2861
1573,2862,3318
1574,2100,2863
1575,2864,3113
1576,1722,2865
1577,2866,3453
1578,2867,3465
1579,1642,2868
1580,2403,2869
1581,2871,3509
1582,2398,2872
1583,1610,2873
1584,2874,3513
1585,1519,2875
1586,1631,2876
1587,1733,2877
1588,1193,2878
1589,1714,2879
1590,1849,2880
1591,1956,2881
1592,1204,2882
1593,1740,2884
1594,1627,2885
1595,2024,2886
1596,1742,2887
1597,2448,2888
1598,1634,2889
1599,1744,2890
1600,1676,2891
1601,1746,2892
1602,1747,2893
1603,1862,2894
1604,2538,2895
1605,1750,2896
1606,1657,2897
1607,1679,2898
1608,2900,3417
1609,1661,2901
1610,1995,2903
1611,1761,2904
1612,1483,2905
1613,1777,2906
1614,1764,2907
1615,1684,2908
1616,1766,2909
1617,1767,2910
1618,1638,2911
1619,1639,2912
1620,2913,3416
1621,2157,2915
1622,2916,3378
1623,1689,2917
1624,1495,2918
1625,1592,2919
1626,1691,2920
1627,1652,2921
1628,1739,2922
1629,1974,2923
1630,1975,2924
1631,1503,2925
1632,1784,2926
1633,1154,2927
1634,2928,3176
1635,1787,2929
1636,1965,2930
1637,1876,2931
1638,1773,2932
1639,1697,2933
1640,1690,2934
1641,1644,2935
1642,1759,2936
1643,1518,2937
1644,1790,2938
1645,1796,2939
1646,1653,2940
1647,1727,2941
1648,1246,2942
1649,1658,2943
1650,2944,3309
1651,1729,2946
1652,1656,2947
1653,1847,2948
1654,1701,2949
1655,1795,2951
1656,2952,3432
1657,1659,2953
1658,1943,2954
1659,1811,2955
1660,1479,2956
1661,1816,2957
1662,1728,2958
1663,2284,2959
1664,2962,3247
1665,1732,2963
1666,1989,2964
1667,1569,2965
1668,1994,2966
1669,1756,2967
1670,2287,2968
1671,1736,2969
1672,2970,3258
1673,1554,2972
1674,1666,2973
1675,1667,2974
1676,1668,2975
1677,1802,2976
1678,1670,2977
1679,1556,2978
1680,802,2979
1681,1771,2980
1682,1713,2981
1683,2982,3363
1684,1620,2983
1685,1440,2984
1686,1730,2985
1687,2986,3262
