,game1,game2
413,1556,2978
414,1557,2634
415,1558,3050
416,1559,2683
417,1560,2473
418,1561,2570
419,1562,2619
420,1563,2686
421,1564,2292
422,1565,2310
423,1566,3317
424,1567,2620
425,1568,2698
426,1569,2965
427,1570,2781
428,1571,3145
429,1572,2704
430,1575,2813
431,1576,2716
432,1577,3445
433,1579,3001
434,1581,2031
435,1582,2125
436,1587,2755
437,1590,2741
438,1591,2724
439,1592,2919
440,1597,2549
441,1598,2612
442,1599,3212
443,1600,2799
444,1601,3014
445,1602,3042
446,1603,2609
447,1604,2116
448,1605,2735
449,1606,2733
450,1607,3240
451,1608,2742
452,1609,2840
453,1610,2873
454,1611,2721
455,1613,3022
456,1615,2715
457,1616,2482
458,1617,2752
459,1618,3264
460,1619,3143
461,1620,2983
462,1621,2577
463,1622,2777
464,1624,2762
465,1625,2764
466,1627,2885
467,1630,2026
468,1631,2876
469,1632,2761
470,1634,2889
471,1636,3133
472,1637,2437
473,1638,2911
474,1639,2912
475,1640,2999
476,1641,2790
477,1642,2868
478,1643,2791
479,1644,2935
480,1645,2700
481,1646,3427
482,1647,2258
483,1649,2998
484,1650,2775
485,1652,2921
486,1653,2940
487,1655,2804
488,1656,2947
489,1657,2897
490,1658,2943
491,1659,2953
492,1660,2623
493,1661,2901
494,1662,3067
495,1663,3315
496,1664,2857
497,1665,2988
498,1666,2973
499,1667,2974
500,1668,2975
501,1669,2767
502,1670,2977
503,1673,3259
504,1675,3096
505,1676,2891
506,1677,2436
507,1679,2898
508,1680,3082
509,1681,3454
510,1684,2908
511,1685,2260
512,1686,2848
513,1687,2829
514,1689,2917
515,1690,2934
516,1691,2920
517,1692,2641
518,1693,2855
519,1694,3049
520,1695,2513
521,1696,2826
522,1697,2933
523,1699,2272
524,1700,2561
525,1701,2949
526,1702,3510
527,1703,3115
528,1704,2852
529,1705,2281
530,1706,3520
531,1707,2991
532,1708,3155
533,1709,3527
534,1710,2858
535,1711,2504
536,1713,2981
537,1714,2879
538,1715,2687
539,1717,2574
540,1718,2696
541,1719,2332
542,1721,3673
543,1722,2865
544,1723,2297
545,1724,3319
546,1725,1864
547,1727,2941
548,1728,2958
549,1729,2946
550,1730,2985
551,1732,2963
552,1733,2877
553,1734,3534
554,1735,2817
555,1736,2969
556,1737,2492
557,1738,3165
558,1739,2922
559,1740,2884
560,1741,2758
561,1742,2887
562,1743,2579
563,1744,2890
564,1745,2818
565,1746,2892
566,1747,2893
567,1748,3174
568,1749,3093
569,1750,2896
570,1751,2636
571,1752,2034
572,1753,3059
573,1755,3062
574,1756,2967
575,1757,3057
576,1758,3501
577,1759,2936
578,1760,3183
579,1761,2904
580,1763,3066
581,1764,2907
582,1765,2824
583,1766,2909
584,1767,2910
585,1768,3047
586,1769,3107
587,1770,3434
588,1771,2980
589,1772,3055
590,1773,2932
591,1774,3300
592,1775,2831
593,1777,2906
594,1778,2650
595,1780,2833
